DAY,PLANT_ID,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15,4135001.0,27.430822788408364,32.58296413615345,0.2046990307090609
2020-05-16,4135001.0,26.78053837288961,31.85885105854978,0.2119510247961668
2020-05-17,4135001.0,26.686726958971974,32.74043509285094,0.23886852248987903
2020-05-18,4135001.0,23.85093750987103,27.814343825347223,0.15902588630644313
2020-05-19,4135001.0,25.338020985227853,29.72516349473886,0.19403076874444472
2020-05-20,4135001.0,25.07678206302489,29.332087682570346,0.22806927781799638
2020-05-21,4135001.0,27.73757522231347,37.18687046531067,0.34641426975318423
2020-05-22,4135001.0,26.526702964037696,32.47888503784722,0.23040752609618073
2020-05-23,4135001.0,26.839616934735453,34.80184306727513,0.2900739065249717
2020-05-24,4135001.0,27.625116263144843,33.978544399454364,0.25976229410688295
2020-05-25,4135001.0,27.21015704775641,34.53396266921169,0.2836808915096311
2020-05-26,4135001.0,26.904454978670632,33.47315381498016,0.2526102997961029
2020-05-27,4135001.0,26.835469128621032,32.42028754332011,0.21393298177893408
2020-05-28,4135001.0,26.766278065418955,33.50317441272321,0.27117066715376364
2020-05-29,4135001.0,26.403786096856308,36.304638394521724,0.31386912963810487
2020-05-30,4135001.0,24.99122322852182,30.816012287251983,0.2278651475883544
2020-05-31,4135001.0,25.472599566071427,30.16071277490079,0.18359852197076534
2020-06-01,4135001.0,24.779514438438643,28.961083133146364,0.18384629539216754
2020-06-02,4135001.0,24.374919994841267,29.448150874603176,0.22378801433646392
2020-06-03,4135001.0,24.795672348621554,29.998062865162908,0.23081798780294885
2020-06-04,4135001.0,25.286175785317457,31.22162463467262,0.25698931703617806
2020-06-05,4135001.0,24.87062225967262,30.58256465674603,0.2415901998942733
2020-06-06,4135001.0,24.24735462703373,28.802772219047622,0.20340497899476784
2020-06-07,4135001.0,25.01608981106151,31.49789223799603,0.2541913838844408
2020-06-08,4135001.0,25.441268369455887,31.621922606952072,0.26370340329042086
2020-06-09,4135001.0,25.545735575347223,31.51574414975198,0.25786118042088196
2020-06-10,4135001.0,24.75246802832341,29.202542299702383,0.20033637486222608
2020-06-11,4135001.0,24.40341033864087,27.880257155753966,0.16180943378463064
2020-06-12,4135001.0,24.07237888938492,27.585833759325396,0.16980782353663193
2020-06-13,4135001.0,24.566728890724207,30.48102565704365,0.2644724434009737
2020-06-14,4135001.0,24.41289140282738,29.421707483829366,0.22008563877067855
2020-06-15,4135001.0,24.827413599355157,29.927816727579366,0.2059250594729363
2020-06-16,4135001.0,24.928929419444444,29.555567136954366,0.1872825571132615
2020-06-17,4135001.0,24.22972834312077,28.374542613884728,0.17696367262743629
